Date,ZipCode,State,Metro,County,City,SizeRank,Zri,MoM,QoQ,YoY,ZriRecordCnt
9/30/2017,10025,NY,New York,New York,New York,0,3568,0.005636979,0.012198582,-0.008888889,22431
9/30/2017,60657,IL,Chicago,Cook,Chicago,1,1903,0.001052078,0.007411329,-0.023100616,32223
9/30/2017,10023,NY,New York,New York,New York,2,3937,0.01104263,0.036871214,0.002036142,29114
9/30/2017,60614,IL,Chicago,Cook,Chicago,3,2138,0.001874414,0.003755869,-0.024635036,33150
9/30/2017,79936,TX,El Paso,El Paso,El Paso,4,983,-0.002030457,-0.009072581,-0.018962076,31486
9/30/2017,10002,NY,New York,New York,New York,5,3769,0.008832976,0.031472359,0.000796601,9172
9/30/2017,60640,IL,Chicago,Cook,Chicago,6,1614,-0.001855288,0,-0.007990166,22477
9/30/2017,10467,NY,New York,Bronx,New York,7,1757,-0.000568828,0.009190121,0.013848817,7339
9/30/2017,77084,TX,Houston,Harris,Houston,8,1428,0.000700771,0.008474576,-0.006263048,26718
9/30/2017,94109,CA,San Francisco,San Francisco,San Francisco,9,4422,-0.001805869,-0.005398111,-0.02470225,9561
9/30/2017,75070,TX,Dallas-Fort Worth,Collin,McKinney,10,1930,0,0.001556824,0.002076843,28948
9/30/2017,11226,NY,New York,Kings,New York,11,2180,0.010194625,0.01774043,0.013953488,10575
9/30/2017,77494,TX,Houston,Fort Bend,Cinco Ranch,12,2149,-0.000465116,-0.001394052,-0.02979684,31576
9/30/2017,77449,TX,Houston,Harris,Cypress,13,1426,0.002108222,0.008486563,-0.015873016,31979
9/30/2017,11375,NY,New York,Queens,New York,14,2115,-0.009367681,-0.020833333,-0.025345622,22413
9/30/2017,10016,NY,New York,New York,New York,15,3733,0.010557661,0.034072022,-0.000535475,26908
9/30/2017,11235,NY,New York,Kings,New York,16,2246,0.006272401,0.009892086,0.019981835,16914
9/30/2017,60647,IL,Chicago,Cook,Chicago,17,1818,-0.001098901,0.0094392,0.018487395,20165
9/30/2017,37211,TN,Nashville,Davidson,Nashville,18,1534,0.000652316,0.003270111,0.037187289,20517
9/30/2017,90250,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,Hawthorne,19,2620,0.004601227,0.019852083,0.0501002,14870
9/30/2017,37013,TN,Nashville,Davidson,Nashville,20,1437,0.00209205,0.00349162,0.032327586,22726
9/30/2017,10009,NY,New York,New York,New York,21,3918,0.009533625,0.038155803,0.005130836,9251
9/30/2017,60618,IL,Chicago,Cook,Chicago,22,1861,0.002693966,0.010314875,0.003234501,20788
9/30/2017,10029,NY,New York,New York,New York,23,3032,0.000329924,0.005638474,0.01032989,5782
9/30/2017,10128,NY,New York,New York,New York,24,3332,-0.004481625,-0.001797484,-0.013325437,22879
9/30/2017,10011,NY,New York,New York,New York,25,4378,0.008988246,0.036703765,-0.022985941,21512
9/30/2017,28269,NC,Charlotte,Mecklenburg,Charlotte,26,1331,0.001504891,0.0121673,0.030185759,26177
9/30/2017,78572,TX,McAllen,Hidalgo,Mission,27,1020,-0.006815969,-0.023923445,-0.027645377,20099
9/30/2017,77573,TX,Houston,Galveston,League City,28,1969,0.001525941,0.004591837,-0.012537613,26004
9/30/2017,30349,GA,Atlanta,Clayton,Riverdale,29,1120,0.009918846,0.02283105,0.054613936,23999
9/30/2017,79912,TX,El Paso,El Paso,El Paso,30,1234,0,-0.001618123,-0.007240547,20964
9/30/2017,90046,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,Los Angeles,31,3839,-0.004408714,-0.013871051,-0.023155216,11061
9/30/2017,94565,CA,San Francisco,Contra Costa,Pittsburg,32,2186,0.010166359,0.020065329,0.052986513,22279
9/30/2017,77584,TX,Houston,Brazoria,Pearland,33,1879,-0.004239534,-0.012092534,-0.034925526,22764
9/30/2017,10003,NY,New York,New York,New York,34,4157,0.010697788,0.044734858,0.004348877,20669
9/30/2017,10462,NY,New York,Bronx,New York,35,1569,0.008354756,-0.001908397,-0.107508532,18630
9/30/2017,10456,NY,New York,Bronx,New York,36,1860,-0.004282655,0.010320478,0.023665382,3302
9/30/2017,60613,IL,Chicago,Cook,Chicago,37,1663,-0.00180072,-0.001201201,-0.039838337,25424
9/30/2017,78660,TX,Austin,Travis,Pflugerville,38,1635,-0.001221747,-0.004869142,-0.003656307,23295
9/30/2017,75052,TX,Dallas-Fort Worth,Dallas,Grand Prairie,39,1558,0.00516129,0.011688312,0.047043011,25195
9/30/2017,20009,DC,Washington,District of Columbia,Washington,40,2819,-0.003182461,-0.001770538,0.022859216,15939
9/30/2017,20002,DC,Washington,District of Columbia,Washington,41,2737,0.000365497,0.010335917,0.052287582,18635
9/30/2017,21234,MD,Baltimore,Baltimore,Parkville,42,1625,0.00308642,0.008690255,0.027830487,21952
9/30/2017,63376,MO,St. Louis,Saint Charles,Saint Peters,43,1432,0,-0.002090592,0.00280112,27607
9/30/2017,77036,TX,Houston,Harris,Houston,44,1264,0.000791766,-0.001579779,-0.026943803,10564
9/30/2017,30044,GA,Atlanta,Gwinnett,Lawrenceville,45,1336,0.000749064,0.008301887,0.038880249,23914
9/30/2017,10463,NY,New York,Bronx,New York,46,1990,-0.001004016,0.00861632,0.033229491,7488
