UACE,NAME,POP,HU,AREALAND,AREALANDSQMI,AREAWATER,AREAWATERSQMI,POPDEN,LSADC
00037,"Abbeville, LA",19824,8460,29222871,11.28,300497,0.12,1757,76
00064,"Abbeville, SC",5243,2578,11315197,4.37,19786,0.01,1200.1,76
00091,"Abbotsford, WI",3966,1616,5363441,2.07,13221,0.01,1915.2,76
00118,"Aberdeen, MS",4666,2050,7416616,2.86,52732,0.02,1629.4,76
00145,"Aberdeen, SD",25977,12114,33002447,12.74,247597,0.1,2038.6,76
00172,"Aberdeen, WA",29856,13139,39997951,15.44,1929689,0.75,1933.3,76
00226,"Abernathy, TX",2785,1124,3051109,1.18,12572,0,2364.1,76
00253,"Abilene, KS",7054,3238,8773263,3.39,1877,0,2082.4,76
00334,"Abingdon, IL",3389,1483,3731303,1.44,0,0,2352.4,76
00388,"Ada, OH",5945,1906,4769036,1.84,0,0,3228.6,76
00415,"Ada, OK",17400,8086,30913906,11.94,89140,0.03,1457.8,76
00450,"Adams, NY",2542,1100,5107296,1.97,13914,0.01,1289.1,76
00469,"Adel, GA",6986,2990,15634050,6.04,204861,0.08,1157.3,76
00496,"Adel, IA",3170,1317,4624127,1.79,0,0,1775.5,76
00550,"Adjuntas, PR",11122,4637,20440722,7.89,156185,0.06,1409.2,76
00577,"Adrian, MI",44823,18178,62219496,24.02,614833,0.24,1865.8,76
00604,"Agat, GU",10093,3133,12594773,4.86,2939,0,2075.5,76
00658,"Ahoskie, NC",4951,2267,7551326,2.92,0,0,1698.1,76
00676,"Air Force Academy, CO",5512,326,6458442,2.49,0,0,2210.4,76
00712,"Ajo, AZ",3076,2006,6906091,2.67,0,0,1153.6,76
00739,"Akron, NY",2982,1426,6779971,2.62,0,0,1139.1,76
00793,"Alachua, FL",4114,1816,9761708,3.77,31222,0.01,1091.5,76
00820,"Alamogordo, NM",31862,14793,42885251,16.56,54253,0.02,1924.3,76
00847,"Alamosa, CO",9751,4057,18886598,7.29,0,0,1337.2,76
00921,"Albany, MN",2564,1070,4331253,1.67,285662,0.11,1533.2,76
00982,"Albemarle, NC",16823,7929,44414396,17.15,63396,0.02,981,76
01009,"Albert Lea, MN",17868,8343,25515204,9.85,1396609,0.54,1813.7,76
01036,"Albertville, AL",36815,14980,92837874,35.84,5174684,2,1027.1,76
01063,"Albia, IA",3573,1660,5597705,2.16,0,0,1653.2,76
01090,"Albion, MI",9219,3809,17101303,6.6,136506,0.05,1396.2,76
01117,"Albion, NY",8171,2780,7638287,2.95,0,0,2770.6,76
01144,"Albion, PA",4574,1048,7434016,2.87,56074,0.02,1593.6,76
01198,"Alderson, WV",2632,789,3439605,1.33,92069,0.04,1981.9,76
01225,"Aledo, IL",3655,1684,5741926,2.22,30085,0.01,1648.6,76
01232,"Aledo, TX",4854,1620,12132649,4.68,173957,0.07,1036.2,76
01252,"Alexander City, AL",9400,4326,25158641,9.71,65446,0.03,967.7,76
01306,"Alexandria, MN",16983,8604,38463572,14.85,7440072,2.87,1143.6,76
01333,"Alfred, NY",4322,659,3117021,1.2,0,0,3591.2,76
01360,"Algoma, WI",3070,1655,4785867,1.85,105292,0.04,1661.4,76
01387,"Algona, IA",5340,2618,6862990,2.65,45217,0.02,2015.2,76
01414,"Alice, TX",20974,8017,28150471,10.87,0,0,1929.7,76
01441,"Allegan, MI",6322,2821,12221345,4.72,147540,0.06,1339.8,76
01468,"Allendale, SC",3307,1567,5948739,2.3,0,0,1439.8,76
01522,"Alliance, NE",8486,4073,12053033,4.65,31691,0.01,1823.5,76
01549,"Alliance, OH",32533,14786,45856810,17.71,276803,0.11,1837.5,76
01603,"Alma, GA",3408,1427,7309455,2.82,363325,0.14,1207.6,76
01630,"Alma--St. Louis, MI",16924,5477,19253096,7.43,406945,0.16,2276.7,76
01657,"Almont, MI",2719,1131,3793261,1.46,1570,0,1856.5,76
01684,"Alpena, MI",14258,7137,24506343,9.46,1830290,0.71,1506.9,76
01711,"Alpine, TX",6013,3081,10819773,4.18,335,0,1439.4,76
01738,"Altavista, VA",4663,2234,14411328,5.56,124082,0.05,838,76
01819,"Alturas, CA",2910,1416,4934771,1.91,16517,0.01,1527.3,76
01846,"Altus, OK",19900,8973,31472094,12.15,521227,0.2,1637.7,76
01873,"Alva, OK",5620,2616,6804483,2.63,0,0,2139.1,76
01900,"Alvarado, TX",4133,1630,7341757,2.83,19935,0.01,1458,76
01981,"American Falls, ID",4488,1624,3737205,1.44,0,0,3110.3,76
02008,"Americus, GA",19106,7655,31443706,12.14,138659,0.05,1573.7,76
02035,"Amery, WI",2832,1412,5340906,2.06,1111063,0.43,1373.3,76
02116,"Amite City, LA",6161,2313,18167855,7.01,40580,0.02,878.3,76
02143,"Amory, MS",6566,3028,14384021,5.55,27224,0.01,1182.3,76
02153,"Amouli, AS",4515,900,12144006,4.69,0,0,962.9,76
02170,"Amsterdam, NY",22262,10805,26866445,10.37,783721,0.3,2146.1,76
02197,"Anaconda-Deer Lodge County, MT",6170,3411,6225272,2.4,0,0,2567,76
02224,"Anacortes, WA",16712,8310,24570264,9.49,589306,0.23,1761.6,76
02251,"Anadarko, OK",5929,2482,6283077,2.43,0,0,2444,76
02278,"Anamosa, IA",5497,2088,5464974,2.11,0,0,2605.2,76
02332,"Anchorage Northeast, AK",28568,10116,42269432,16.32,363450,0.14,1750.5,76
02359,"Andalusia, AL",6655,3187,14927092,5.76,32462,0.01,1154.7,76
02440,"Andrews, SC",3903,1709,7780782,3,0,0,1299.2,76
02467,"Andrews, TX",12346,4841,16192925,6.25,30529,0.01,1974.7,76
02494,"Angels, CA",3751,1853,6902231,2.66,23589,0.01,1407.5,76
02548,"Angola, IN",11196,5828,23588879,9.11,3943929,1.52,1229.3,76
02575,"Anna, IL",6078,2815,10306265,3.98,47213,0.02,1527.4,76
02581,"Anna, TX",10746,3809,18087871,6.98,30010,0.01,1538.7,76
02590,"Annandale, MN",3262,1460,7049035,2.72,0,0,1198.5,76
02656,"Antigo, WI",8158,3916,10833996,4.18,84337,0.03,1950.3,76
02710,"Apalachicola, FL",3691,2095,7236978,2.79,15809641,6.1,1320.9,76
02773,"Apple Valley, OH",4835,2492,12288357,4.74,2044219,0.79,1019.1,76
02791,"Arab, AL",8012,3635,21680388,8.37,301955,0.12,957.1,76
02825,"Arbuckle, CA",2652,812,1871304,0.72,0,0,3670.5,76
02845,"Arcade, NY",3048,1470,6114482,2.36,0,0,1291.1,76
02899,"Arcadia, LA",2894,1188,7120154,2.75,0,0,1052.7,76
02901,"Arcadia, WI",2993,1235,5461020,2.11,0,0,1419.5,76
02912,"Arcadia--Southeast Arcadia, FL",17490,7356,26231607,10.13,15770,0.01,1726.9,76
02926,"Arcata-McKinleyville, CA",32364,14233,42634460,16.46,312699,0.12,1966.1,76
02953,"Archbold, OH",4760,2046,9777640,3.78,37919,0.01,1260.9,76
02965,"Archer Lodge--Clayton, NC",13288,4707,52581462,20.3,265273,0.1,654.5,76
