route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
9928,1,21,WOODBERRY - CANTON CROSSING,,3,,879A8C,FFFFFF
9929,1,22,MONDAWMIN - BAYVIEW,,3,,879A8C,FFFFFF
9930,1,26,BROOKLYN - MONDAWMIN,,3,,879A8C,FFFFFF
9931,1,28,MORAVIA - ROGERS AVE METRO,,3,,879A8C,FFFFFF
9932,1,29,MONDAWMIN - BROOKLYN,,3,,879A8C,FFFFFF
9933,1,30,ROGERS AVE - ROSEDALE,,3,,879A8C,FFFFFF
9934,1,31,SINAI HOSPITAL - SECURITY SQ MALL,,3,,879A8C,FFFFFF
9935,1,33,MT WASHINGTON LIGHT RAIL - OVERLEA,,3,,879A8C,FFFFFF
9936,1,34,FALLS RD STATION - WESTVIEW MALL,,3,,879A8C,FFFFFF
9937,1,36,TOWSON TOWN CENTER - FOX RIDGE,,3,,879A8C,FFFFFF
9938,1,37,OLD COURT - UMBC,,3,,879A8C,FFFFFF
10039,1,38,WESTGATE - MEDFIELD,,3,,879A8C,FFFFFF
9939,1,51,TOWSON - DOWNTOWN,,3,,879A8C,FFFFFF
9940,1,52,GREENMOUNT NORTH - STELLA MARIS,,3,,879A8C,FFFFFF
9941,1,53,NORTH AVE LIGHT RAIL - TOWSON,,3,,879A8C,FFFFFF
9942,1,54,STATE CENTER - CARNEY/HILLENDALE,,3,,879A8C,FFFFFF
9943,1,56,DOWNTOWN - WHITE MARSH,,3,,879A8C,FFFFFF
9944,1,57,BELAIR-EDISON CIRCULATOR,,3,,879A8C,FFFFFF
9945,1,59,MORAVIA - WHISPERING WOODS,,3,,879A8C,FFFFFF
9946,1,62,CCBC ESSEX - TURNER STATION,,3,,879A8C,FFFFFF
9947,1,65,DOWNTOWN - DUNDALK,,3,,879A8C,FFFFFF
9948,1,67,DOWNTOWN - MARLEY NECK,,3,,879A8C,FFFFFF
9949,1,69,PATAPSCO STATION - JUMPERS HOLE,,3,,879A8C,FFFFFF
9950,1,70,PATAPSCO STATION - ANNAPOLIS,,3,,879A8C,FFFFFF
9951,1,71,DOWNTOWN - PATAPSCO LIGHT RAIL,,3,,879A8C,FFFFFF
9952,1,73,STATE CENTER - PATAPSCO STATION,,3,,879A8C,FFFFFF
9953,1,75,PATAPSCO LIGHT RAIL - ARUNDEL MILLS,,3,,879A8C,FFFFFF
9954,1,76,CCBC - DOWNTOWN,,3,,879A8C,FFFFFF
9955,1,77,W BALTIMORE MARC - CATONSVILLE,,3,,879A8C,FFFFFF
9956,1,78,W BALTIMORE MARC - CMS,,3,,879A8C,FFFFFF
9957,1,79,MONDAWMIN - CMS,,3,,879A8C,FFFFFF
