UACE,NAME,POP,HU,AREALAND,AREALANDSQMI,AREAWATER,AREAWATERSQMI,POPDEN,LSADC
00199,"Aberdeen--Bel Air South--Bel Air North, MD",213751,83721,339626464,131.13,9825290,3.79,1630.1,75
00280,"Abilene, TX",110421,46732,141756054,54.73,988193,0.38,2017.5,75
00631,"Aguadilla--Isabela--San Sebasti†n, PR",306196,138431,619716445,239.27,902076,0.35,1279.7,75
00766,"Akron, OH",569499,257659,842722918,325.38,17432485,6.73,1750.3,75
00901,"Albany, GA",95779,40430,183486824,70.84,2789526,1.08,1352,75
00955,"Albany, OR",56997,23542,62063265,23.96,299239,0.12,2378.6,75
00970,"Albany--Schenectady, NY",594962,266370,765942841,295.73,16280778,6.29,2011.8,75
01171,"Albuquerque, NM",741318,314851,648969769,250.57,8921074,3.44,2958.5,75
01279,"Alexandria, LA",82804,33935,169751977,65.54,906725,0.35,1263.4,75
01495,"Allentown, PA--NJ",664651,271233,896890519,346.29,10525918,4.06,1919.3,75
01765,"Alton, IL--MO",83890,38237,141949966,54.81,2023228,0.78,1530.6,75
01792,"Altoona, PA",79930,35760,96848806,37.39,168678,0.07,2137.5,75
01927,"Amarillo, TX",196651,80744,210246929,81.18,1570175,0.61,2422.5,75
02062,"Ames, IA",60438,24470,60165324,23.23,164176,0.06,2601.7,75
02305,"Anchorage, AK",251243,97417,220101413,84.98,2656777,1.03,2956.4,75
02386,"Anderson, IN",88133,40670,171100448,66.06,753595,0.29,1334.1,75
02413,"Anderson, SC",75702,34650,191880867,74.09,3293922,1.27,1021.8,75
02602,"Ann Arbor, MI",306022,133978,413286601,159.57,13598091,5.25,1917.8,75
02629,"Anniston--Oxford, AL",79796,36090,224731051,86.77,1386620,0.54,919.6,75
02683,"Antioch, CA",277634,93809,210723258,81.36,888824,0.34,3412.4,75
02764,"Appleton, WI",216154,92157,268776675,103.78,10806541,4.17,2082.9,75
03034,"Arecibo, PR",139171,60653,217740151,84.07,1592521,0.61,1655.4,75
03196,"Arroyo Grande--Grover Beach, CA",52000,25398,59618233,23.02,235105,0.09,2259,75
03358,"Asheville, NC",280648,136493,686027223,264.88,6297443,2.43,1059.5,75
03763,"Athens-Clarke County, GA",128754,55512,254841198,98.39,2581091,1,1308.5,75
03817,"Atlanta, GA",4515419,1861932,6851428985,2645.35,93515029,36.11,1706.9,75
03898,"Atlantic City, NJ",248402,147060,324104023,125.14,11556708,4.46,1985,75
04033,"Auburn, AL",74741,34604,129261694,49.91,909436,0.35,1497.6,75
04222,"Augusta-Richmond County, GA--SC",386787,165167,672162059,259.52,6897123,2.66,1490.4,75
04384,"Austin, TX",1362416,566966,1354651025,523.03,11941592,4.61,2604.8,75
04549,"Avondale--Goodyear, AZ",197041,73521,227705132,87.92,346232,0.13,2241.2,75
04681,"Bakersfield, CA",523994,178519,358555119,138.44,2246386,0.87,3785,75
04843,"Baltimore, MD",2203663,939420,1857113332,717.04,65619042,25.34,3073.3,75
04951,"Bangor, ME",61210,27142,110091842,42.51,3704605,1.43,1440,75
05167,"Barnstable Town, MA",246695,162112,718092279,277.26,58453185,22.57,889.8,75
05680,"Baton Rouge, LA",594309,246028,949993185,366.79,11742933,4.53,1620.3,75
05707,"Battle Creek, MI",78393,36200,137324107,53.02,3535368,1.37,1478.5,75
05869,"Bay City, MI",70585,32513,104448520,40.33,4168481,1.61,1750.3,75
06058,"Beaumont, TX",147922,63365,237456087,91.68,2870184,1.11,1613.4,75
06139,"Beckley, WV",64022,29519,157912915,60.97,727366,0.28,1050,75
06652,"Bellingham, WA",114473,50696,124634344,48.12,9111493,3.52,2378.8,75
06760,"Beloit, WI--IL",63835,26314,88964592,34.35,2353525,0.91,1858.4,75
06868,"Bend, OR",83794,38921,102853427,39.71,562028,0.22,2110,75
07138,"Benton Harbor--St. Joseph--Fair Plain, MI",61022,28006,120880351,46.67,2570973,0.99,1307.5,75
07705,"Billings, MT",114773,50475,137178563,52.96,486418,0.19,2167,75
07732,"Binghamton, NY--PA",158084,71772,192026242,74.14,9043142,3.49,2132.2,75
07786,"Birmingham, AL",749495,337693,1372424115,529.9,10441184,4.03,1414.4,75
07921,"Bismarck, ND",81955,37317,100381571,38.76,1801380,0.7,2114.6,75
08002,"Blacksburg, VA",88542,35430,132632697,51.21,571606,0.22,1729,75
08380,"Bloomington, IN",108657,45637,116026934,44.8,51757,0.02,2425.5,75
08407,"Bloomington--Normal, IL",132600,54479,127410911,49.19,191841,0.07,2695.5,75
08434,"Bloomsburg--Berwick, PA",53618,23149,84652608,32.68,3134384,1.21,1640.5,75
08785,"Boise City, ID",349684,146177,346614209,133.83,4186091,1.62,2612.9,75
08974,"Bonita Springs, FL",310298,209911,484223262,186.96,37054774,14.31,1659.7,75
09271,"Boston, MA--NH--RI",4181019,1719241,4852227548,1873.46,201870511,77.94,2231.7,75
09298,"Boulder, CO",114591,51299,84139802,32.49,706602,0.27,3527.3,75
09379,"Bowling Green, KY",78306,32586,117592884,45.4,637255,0.25,1724.7,75
09946,"Bremerton, WA",198979,85027,353498946,136.49,81974047,31.65,1457.9,75
10162,"Bridgeport--Stamford, CT--NY",923311,367499,1207483169,466.21,30692755,11.85,1980.5,75
10351,"Bristol--Bristol, TN--VA",69501,32924,165471259,63.89,272910,0.11,1087.8,75
